"filebasename","gt","nagg"
"20220520_y218_d5mi10s_snapshot_90mBE_000_D3Dc000_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_000_D3Dc003_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_000_D3Dc005_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_001_D3Dc000_predict_predict.tif","induced",1
"20220520_y218_d5mi10s_snapshot_90mBE_001_D3Dc001_predict_predict.tif","induced",1
"20220520_y218_d5mi10s_snapshot_90mBE_001_D3Dc002_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_001_D3Dc003_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_001_D3Dc004_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_001_D3Dc005_predict_predict.tif","induced",5
"20220520_y218_d5mi10s_snapshot_90mBE_001_D3Dc006_predict_predict.tif","induced",6
"20220520_y218_d5mi10s_snapshot_90mBE_001_D3Dc007_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_002_D3Dc003_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_002_D3Dc004_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_002_D3Dc007_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_003_D3Dc001_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_003_D3Dc004_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_003_D3Dc005_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_003_D3Dc006_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_003_D3Dc010_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_004_D3Dc001_predict_predict.tif","induced",5
"20220520_y218_d5mi10s_snapshot_90mBE_005_D3Dc000_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_006_D3Dc003_predict_predict.tif","induced",6
"20220520_y218_d5mi10s_snapshot_90mBE_007_D3Dc001_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_007_D3Dc006_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_007_D3Dc010_predict_predict.tif","induced",6
"20220520_y218_d5mi10s_snapshot_90mBE_008_D3Dc002_predict_predict.tif","induced",5
"20220520_y218_d5mi10s_snapshot_90mBE_008_D3Dc003_predict_predict.tif","induced",5
"20220520_y218_d5mi10s_snapshot_90mBE_008_D3Dc004_predict_predict.tif","induced",1
"20220520_y218_d5mi10s_snapshot_90mBE_009_D3Dc000_predict_predict.tif","induced",1
"20220520_y218_d5mi10s_snapshot_90mBE_009_D3Dc001_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_009_D3Dc002_predict_predict.tif","induced",1
"20220520_y218_d5mi10s_snapshot_90mBE_009_D3Dc006_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_010_D3Dc000_predict_predict.tif","induced",1
"20220520_y218_d5mi10s_snapshot_90mBE_010_D3Dc001_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_010_D3Dc002_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_010_D3Dc003_predict_predict.tif","induced",1
"20220520_y218_d5mi10s_snapshot_90mBE_010_D3Dc005_predict_predict.tif","induced",1
"20220520_y218_d5mi10s_snapshot_90mBE_011_D3Dc000_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_011_D3Dc001_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_011_D3Dc002_predict_predict.tif","induced",1
"20220520_y218_d5mi10s_snapshot_90mBE_011_D3Dc003_predict_predict.tif","induced",1
"20220520_y218_d5mi10s_snapshot_90mBE_011_D3Dc005_predict_predict.tif","induced",5
"20220520_y218_d5mi10s_snapshot_90mBE_012_D3Dc000_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_012_D3Dc002_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_012_D3Dc003_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_012_D3Dc004_predict_predict.tif","induced",1
"20220520_y218_d5mi10s_snapshot_90mBE_012_D3Dc005_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_013_D3Dc002_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_013_D3Dc003_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_013_D3Dc004_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_013_D3Dc005_predict_predict.tif","induced",1
"20220520_y218_d5mi10s_snapshot_90mBE_013_D3Dc007_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_013_D3Dc008_predict_predict.tif","induced",1
"20220520_y218_d5mi10s_snapshot_90mBE_013_D3Dc010_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_014_D3Dc001_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_014_D3Dc003_predict_predict.tif","induced",6
"20220520_y218_d5mi10s_snapshot_90mBE_014_D3Dc005_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_014_D3Dc006_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_015_D3Dc000_predict_predict.tif","induced",1
"20220520_y218_d5mi10s_snapshot_90mBE_015_D3Dc002_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_015_D3Dc005_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_015_D3Dc008_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_015_D3Dc011_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_015_D3Dc013_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_015_D3Dc014_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_016_D3Dc001_predict_predict.tif","induced",5
"20220520_y218_d5mi10s_snapshot_90mBE_016_D3Dc004_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_016_D3Dc006_predict_predict.tif","induced",6
"20220520_y218_d5mi10s_snapshot_90mBE_016_D3Dc007_predict_predict.tif","induced",1
"20220520_y218_d5mi10s_snapshot_90mBE_016_D3Dc008_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_016_D3Dc010_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_016_D3Dc011_predict_predict.tif","induced",1
"20220520_y218_d5mi10s_snapshot_90mBE_017_D3Dc000_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_017_D3Dc001_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_017_D3Dc002_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_017_D3Dc004_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_017_D3Dc005_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_017_D3Dc006_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_017_D3Dc008_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_018_D3Dc005_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_018_D3Dc006_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_018_D3Dc007_predict_predict.tif","induced",5
"20220520_y218_d5mi10s_snapshot_90mBE_018_D3Dc008_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_018_D3Dc009_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_019_D3Dc001_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_019_D3Dc003_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_019_D3Dc005_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_019_D3Dc006_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_019_D3Dc007_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_019_D3Dc008_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_019_D3Dc009_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_019_D3Dc011_predict_predict.tif","induced",1
"20220520_y218_d5mi10s_snapshot_90mBE_020_D3Dc000_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_020_D3Dc001_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_020_D3Dc002_predict_predict.tif","induced",1
"20220520_y218_d5mi10s_snapshot_90mBE_020_D3Dc004_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_020_D3Dc006_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_020_D3Dc007_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_020_D3Dc008_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_020_D3Dc009_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_020_D3Dc010_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_021_D3Dc000_predict_predict.tif","induced",6
"20220520_y218_d5mi10s_snapshot_90mBE_021_D3Dc003_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_021_D3Dc004_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_021_D3Dc008_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_021_D3Dc009_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_021_D3Dc012_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_022_D3Dc000_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_022_D3Dc002_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_022_D3Dc003_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_022_D3Dc004_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_022_D3Dc005_predict_predict.tif","induced",5
"20220520_y218_d5mi10s_snapshot_90mBE_022_D3Dc007_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_023_D3Dc000_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_023_D3Dc002_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_023_D3Dc006_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_023_D3Dc008_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_023_D3Dc010_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_023_D3Dc013_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_024_D3Dc001_predict_predict.tif","induced",1
"20220520_y218_d5mi10s_snapshot_90mBE_024_D3Dc003_predict_predict.tif","induced",1
"20220520_y218_d5mi10s_snapshot_90mBE_024_D3Dc004_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_024_D3Dc007_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_024_D3Dc008_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_024_D3Dc009_predict_predict.tif","induced",1
"20220520_y218_d5mi10s_snapshot_90mBE_024_D3Dc010_predict_predict.tif","induced",5
"20220520_y218_d5mi10s_snapshot_90mBE_024_D3Dc012_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_024_D3Dc014_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_024_D3Dc015_predict_predict.tif","induced",1
"20220520_y218_d5mi10s_snapshot_90mBE_025_D3Dc000_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_025_D3Dc002_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_025_D3Dc003_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_025_D3Dc006_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_026_D3Dc003_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_026_D3Dc004_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_026_D3Dc006_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_026_D3Dc008_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_026_D3Dc010_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_026_D3Dc012_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_027_D3Dc000_predict_predict.tif","induced",5
"20220520_y218_d5mi10s_snapshot_90mBE_027_D3Dc001_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_027_D3Dc003_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_028_D3Dc000_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_028_D3Dc002_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_028_D3Dc003_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_028_D3Dc004_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_028_D3Dc005_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_028_D3Dc007_predict_predict.tif","induced",2
"20220520_y218_d5mi10s_snapshot_90mBE_028_D3Dc009_predict_predict.tif","induced",5
"20220520_y218_d5mi10s_snapshot_90mBE_028_D3Dc011_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_028_D3Dc012_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_028_D3Dc013_predict_predict.tif","induced",4
"20220520_y218_d5mi10s_snapshot_90mBE_029_D3Dc004_predict_predict.tif","induced",3
"20220520_y218_d5mi10s_snapshot_90mBE_029_D3Dc005_predict_predict.tif","induced",5
"20220520_y218_d5mi10s_snapshot_90mBE_029_D3Dc007_predict_predict.tif","induced",2
